Lemens J. van	Veuve Lemens
大森 啓助	Keisuke Omori
ארמינגטון פרנק	Frank Armington
קרייר אוז'ן	Carrière Eugène Anatole
真野 満	Mano Mitsuru
Master of the Crossed Staffs	Hans Wechtlin
Loes van Waalwijk van Doorn	Goedewaagen Louise
Chen Shouyi	陳壽彜
שרון אסתר	Sharon Esther
פלדה הנס	Hans Pallada
Aguado Alejandro María	Marqués de Las Marismas del Guadalquivir
Locatelly Giovanni Francesco	J.-F. Lucatelli
Ovadia Shmuel	עובדיה שמואל
פימה קורין	Corinne Fima
Shigeru Morita	森田 茂
里中 英人	Satonaka Hideto
Καράς Χριστος	Karas Christos
Jorisz. Jan	Brugge Johannes von
Eva Siao	Ye Hua W.-G
Wen-ke	Dongshan
גיסקין גוון	Giskin Gwen
במברגר פריץ	ferdinand bamberger
Joanna of Evreux Queen of France	John Barnard
ארדט הנס רודי	Erdt Hans Rudi
Cwiczeck Mathias	Schwezge
Ky ōu Hoashi	Chidai
Louis 9世 フランス国王	Louis s. IX re di Francia
Ludovik IX King of France	Louis 9世 フランス国王
Franç. de Balko	Palcko
גרוס אגנס	Agnes Gross
איילון עזריאל	Ayalon Azriel
וייג'י (ארתור ה' פליג)	Fellig Usher
Зауервейд Александр Иванович	Zauerveyd Aleksandr Ivanovich
ho Hyuhyudang	Yi Kye-ho
Cock Monogrammist P. V. A.	Coecxe Pieter II
קראוס יוהן אולריך	Kraus Johann Ulrich
Simmons Charles	סימונס צ'רלס
Jan Frans Jozef Mertens	Martin
Lewizkij Dimitrij Grigorjewitsch	Levitscoy
הייד סקוט	Hyde Scott Frederick
אשרוב אלי	Asherov Eli
Deya	Mikumo Shonosuke
Ruud Janssen	T. A. M.
לי רו צונג	Meichi
Maurice-Henry	אנרי מוריס
鬼頭 鍋三郎	Nabesaburo Kito
Yehoshua Zamir	זמיר יהושע
בנרד דרבי	Bannard Darby
Walter Darby Bannard	בנרד דרבי
Weyts (II) Pouwels	Stock Pieter Willemsz. van der
בן חיים אמנון (זיגי)	Ben Haim Amnon
National Portrait Gallery	Smithsonian Institution
אורקין רות	Orkin Ruth
Koshun Kawazu	河津 光浚
הראל גיתית	Harel Gitit
Dr. Atl	Gerardo Murillo
Takachiyo Uemura	植村 鷹千代
ריכטר מירה	Richter Myra
לורי פיטר דה	Lory Peter de
קלדרון אשר	Asher Kalderon
Odol'skij	Grigori Nikolaevich Adolski
Löchelt Elisabeth Beate	הולבק ביאטה
קרטצ'מר ברנהרד	Bernhard Kretzschmar
Newdigate prizeman	W. H. Mallock
Mrs. John Browning	Jackson Harriet A.E.
סרי דוד	David Serry
Ruelle Jean	La Ferte
Waisler Lee	וייסלר לי
תומאס עליזה	Alliza Thomas
Jean Joseph Smits	Schimt
לוסקי דעואל חיים	Aim Luski Duelle
Calamatta	Rochette Josephine
井上 安男	Inoue Yasuo
אפשטיין יעקב	Epstein Jacob Sir
Spode Works	Copeland factory
Xizhe	祝枝山
גרשון שלמה	Gershon Shlomo
f. x. pieler	Petter Franz Xaver
島野 三秋	Shintaro
Grammatica	Antivédutus
Errell	Levy Richard
Neysa Moran Mc Mein	Baragwanath John G. Mrs.
地主 悌助	Jinushi Teisuke
פרלמן יצחק	Perlman Itzchak
山鹿 清華	Seika Yamaga
H. Stoccade Nicolaes van	Helt Stockade
Eisenhardt Johannes Caspar	אייזנהרדט יוהנס קספר
Johann Siberechts	Cibrack
Simay Francois	Francesco Franceschini
Salome	Σαλώμη
Sabbioneta	Vincenzo Pisenti
Tabboo!	Stephen Tashjian
Rayah Redlich	רדליך רעיה
חודורובסקי ליפקינד אנה	Anna Khodorovsky Lipkind
王璜生	Wang Huang-sheng
אשל גרשוני ביאנקה	Eshel Gershuni Bianca
בסנטא קרלוס	Carlos Basanta
קאר אידה	Kar Ida
BKB Architects	Boyce Kemp & Bron
Eacout	G. v.d. Eekhout
שוובל איבן	Shṿebel Iṿan
שוובל איוון	Shṿebel Iṿan
Hammelmik	Memmelynghe Jan van
硲 伊之助	Hazama Inosuke
אייל אבישי	Ayal Avishay
עובדיה עדה	Ada Ovadia
Jiliang Hou	侯吉谅
מרדכוביץ חוה	Hava Mardcovitz
מורנו פנקס	Pincas Moreno
China) Hong fa si (Shenzhen Shi	弘法寺 (深圳市中国)
Michiel van Arenborgh	Eerdenberch ...
Tameushi Igyū	Kiminobu
Colin Self	סלף קולין
Yoshio Mitsui	三井 義夫
Λυδάκης Στέλιος	Lydakis Stylianos
קרפין ג'וזף	Crepin Joseph
SADAS	PEA
עבאדי שי	Shay Abadi
Charles d’Orléans	Rogers Richard
Geh Rath Haes	Haes von (Bonn)
Aisenshtat Alexander	Айзенштат Александр
נרקיס מרדכי	Narkis Mordecai
Yarden Piri	ירדן פירי
鬼原 素俊	Kumazo
בן שלום נעה	Noa Ben Shalom
אלחסיד נגה	Alhassid Noga
Adi Sened	סנד עדי
Vinciata	King Joseph Wallace
Taikyoan	Kōetsu Hon'ami
Lian Ju	Luofu sanren
רול יעל	Roll Yael
Schlusberg Hannah	שלוסברג חנה
יונסקו אירינה	Ionesco Irèna
Irina Ionesco	יונסקו אירינה
H. O.	Ellis & Clarke
Meira Rapaport	רפופורט מאירה
Gelder Claes	N.V. Gölder
בן עדי ניב	Niv Ben Adi
Sfrisato Francesco	Il Legnago
Teys	Thijs Pieter Joseph
宮本隆司	Ryūji Miyamoto
סינגייר גוסטב	Singier Gustave
Klint Tage	קלינט טאג
B.O.M.A. International	Building Owners and Managers Association International
Worsley Mrs. Leila	Faithfull Leila
Moscowitz Amalia	Lesznai Anna
Ronald Feldman Fine Arts Inc.	Feldman Gallery
Giol Draper Pere	Pierre Adrien Graillon
Duenwege Heinrich	Boghert Derick
Gérard Louis-Auguste	M. Gérard élève de M. Bertin
Cäsar Robertus a Biturgia	Cesare di Civitella
Namch'ang	Kim Hyon-song
Rumney Mrs. Pegeen	Vail Pegeen
Plonski	Michał Płoński
Master Of Gustrow	Meester van het Altaar te Güstrow
Calis Ineke	Kuipers Ineke (1946)
Ackermann Gallery	arthur ackerman & son Ltd
M. Deseve	Sève
Town Museum	Mestské Muzeum
Eglise de Sainte-Walburga Antwerpen	St. Walburga's Church
Steel Miss Mary	Armour Mary
Frederick the Peaceful	Friedrich III King of Germany
Miss Reed	Katherine Read
Kisai	Rissho
M. du Rameau	Louis Jean Jacques Durameau
University of Lugano	USI (Università della Svizzera italiana)
Thirty-one Studio	31 Studio
Camfort	[Craufurd]
Leclerc Jean (1717-1768)	Clerc Johann Friedrich
mcclees galleries	j.e. mcClees & co Inc
Konody Mrs. Paul G.	Pyke-Nott Miss Isabel Codrington
Mayer Mrs. Gustave	Konody Mrs. Paul G.
konstantin stoitzner	stoitzner c.
John VI	Giovanni VI papa
Mackay Patty	Aberigh-Mackay Miss
Monjoky	Mányoki Adám
Nijmegen Elias Van	Nymwegen
Rutherston Mrs. Charles L.	Elmslie Essil R.
Etude Gros-Delettrez	H. Gros G. Delettrez (Firm)
U-Fan Lee	U-hwan Yi
Shih Tʻao	Chʻing-hsiang-i-jen
J Marsen	J.M. de Jong
Caula Tito	Capurro Francisco José Caula
Tsa-Sha-Wee-Eh	Bragshaw Helen
Monory Jacques	Monori Z︠H︡ak
Lingée Eléonore	Lefebvre Thérèse-Eléanor
Garstens A. J.	Asmus Carstens
Bresciano il (1555/1565)	Prospero Antichi
hao Chanyue	Guan Hsiu
Meister des Heiligen Nikolaus	Master of St. Nicholas
Torrecilla Juan de	Sanz Juan
Comer Alexander	Comer H.
Haritsu Ukwanshi	Muchuan
Robert Eigenberger	Reigen Karl
מוסיי מ' (?)	Mossei M. (?)
Gilbert-Hughes Kate Elizabeth	Gilbert Mrs. Humprey Hughes
Reesbroeck	Reesbroucq Jacobus van
Cheater Violet	Cheater T.J. (Mrs.)
B.H. Thier	Van Thier
Schut de Francfort	Schütze
Bhikṭoriẏā	Victoria Queen
Carlos I King of Spain	Charles V Holy Roman Emperor
Couasky Alexander	Koasqui Polonois
Maius Joannes	Maggi Giovanni
John D. Milner	Riley John
Broome A. N.	Brown Hattie
Rouse (Gent)	Roosa
Roos	Rouse (Gent)
El Razzaz Mostafa	ar-Razzāz Muṣṭafā
Fel'ten Yury Matveyevich	Velten Georg Friderick
A. V. Kunzendorf	Anna Gritschker-Kunzendorf
Rutlinger Johannes	Rut J. Van Der
Fedders Jūlijs	Feders Yuly Bogdanovich
Zegna Angelo (1924)	Zegna Anna
Zegna Aldo (1920-2000)	Zegna Anna
Scott George Gilbert Sir	Scott Adrian
Morven	Jacob Cyprien-Max
De Koninck	Salomon Coninck
Heckel Anton	Huckel
Westinghouse デンキ ガイシャ	Westinghouse Electric
Pluijm Carel van der	Pluym
c. f. deiker fec.	Deiker Karl Friedrich
Dewton Lil	Bing Lilly Mary
Gotsch F. K.	Gotsch Friedrich-Karl
Andrea di Niccolò da Durazzo	Alesi Andrija
Clotaire III re di Neustria e di Borgogna	Hlothar III
Wright Mrs. Edgar P.	Rix Miss Emily Hilda
Michele Fiammingo	Michele de Subleo
Mason William i	Mason Rev.
Vigers A. F.	Vierpeyl Jan Carel
Lord Huntingfield	Sir Joshua Vanneck
Cleve Cornelis van der Beke van	Cleef Sotte-Cleef
Godinho Manuel da Silva	Godo.
Silva Godinho Manuel da	Godo.
Hrvatski restauratorski zavod	Croatian Conservation Institute
Lanfant de Metz	Lanfant Francois Louis
Brendl J.G.	Pendel Jan Jiří
Dighton Phoebe	Earl Phoebe
Gibson Sir	Gibson Donald
Master Of The Frankfurt S. John Altarpiece	Meester der Johannesmartelingen
Cambiaso	Orazio
Haworth Miss	Haworth E. F.
Iosif Chaykov	Y. Ṭshayḳoṿ
Scrope Barnard	B Morland
Yūshidō	Tōshien
Scarpagnino Antonio	Antonio di Pietro Abbondi
nic. bern. lepicie	M. Lepicié
Friedrich Weitsch	Fr. G. Weitsch
Marcus Antonius Gordianus Sempronianus Romanus	Gordian I. Römisches Reich Kaiser
National Library of Naples	Biblioteca nazionale Vittorio Emanuele III
Ainsley D.	Nansen H.
Ths. Agnew & Sons London	Thomas Agnew
Oy Alko Ab	State Alcohol Monopoly
Meester van de Schottenkerk van Wenen	Master of the Schotten Altar II
Fiorentino	Bettini
Bonaparte Joséphine	Josephine Empress of the French
Sibrexe	Cibrack
Stroechling	Straely Eduard
Bichkoff Erik	Byčkov Israel
Vieil Pierre Le	V. M. Le
Le V. M.	Vieil Pierre Le
jutz karl	Iutz
Hondius Hendrick (I)	Heyn de Hont
Cav. r Vanini	Vannini Ottavio
Tabgatch dynasty	Pei Wei dynasty
Reuter Kilian	Mellrichstadt Kilian von
Winghen Jodocus	van Wingen
Paliez	C. Paillet
Kuipens	Kuypers D.
Skif (ps.)	Petrov A. (ps.)
Baikov T.	Bajkov Fedor Il'ič
Menzocchi Francesco	il Vecchio di San Bernardo
Mr. Knyff	Knijff Leendert
Mr. Knife	Knijff Leendert
Hofoper	Staatsoper
Sutter Jules	David Sutter
Ventom & Sons	Mr. Ventom
Brandt der Ältere	Brand Christian Hülfgott
Guérard Johann Joseph Eugen von	e. v. guerard
Trautmann den ältern	I.G. Trautmann
Il Cecco Bravo	Francesco Montilatici
Georg Ludwig Eckhardt	M. Ekart
Lin Shaw Yu	Lin Richard
Cambon Armand	Henri Joseph Armand
Ghaall	Pieter Gaal
Grégoire IV pape	Gregorius
k. ruthart	Rutter
Roma Italia. Palazzo Borghese	Borghese Prince
Krakauėr Z.	Siegfried Kracauer
professor jakobus leisten	i. leisten
de Bock	v. Pock
Lelienbergh Cornelis	J. Van Lelinberg
Marx Suzanne	Suzy Lake
Lévy Isaac	Lévy Georges
Harry Elsas	Elsas Heinz Hugo Erich
Gallet	Galais
Bindol Ben	Pollak Benedikt Fred
Cruysbergen Gysbert	Cruijsborgh P.
Corcoran Gallery	Corcoran Museum of Art
Escuela Técnica Superior de Arquitectura de Sevilla	School of Architecture Sevilla
Firma Katz	d. katz
Dal Friso	Alvise Benfatto
uhde f.c.	Uhde Fritz von
Mensing & Zoon	Mensing&Fils
Rijck Willem de	Deryck
Ryck Willem	Deryck
Breton Virginie Elodie	mm. demont breton
C. V. Bemmel	Georg Christoph Gottlieb von Bemmel the Elder
Hans Keynooghe	Kaynat Jan
P. C. la Fargue	Farque
V. den Eckhout	Eacout
S. Managio	menajgo
Vincent Malò	Malo
Forbes Malcolm	Forbes Steve
Geshan-laoren	Luofu sanren
Formanteij Hendrik de	H. Dromantion
oscar graf krockow	o. v. krockow
teddy schempp	Theodore Schempp & Co.
Daniell the Elder William	W. Daniell R. A.
Roux Bartlomé	Cárdenas Bartolomé de
Pittore della Carola	Anodos Painter
Giovanni Battista Regorini	Sergio Gandini
ILA and UD	Universitá a di Urbino. International Laboratory of Architecture and Urban Design
Unvanck	Aenvanck Théodoor
Pío	Fernández Evaristo Antonio Víctor Pelayo del Valle
Bigelow	Brown and Bigelow Company
Chateignon Ernest	Ernesto Belli
Spetz & Holst Arkitekter	S&H
Clark Benton H.	Clark
Downing Thorpe James	DTJ
Visscher Beernt de	Visscher
Redgemorter	Regenmorten Peter van
Sylvester Baur	Livingstone Barney
Gogh	Gogh Vincent Willem van
Cassi Ramelli Antonio	Casamor de Espona Antonio
Halder Christoph	Charles Echard
Olivetti	Olivetti e c. s. p. a.
Almania Armanus de	Arnoult de Niemeg
Patrick Clifford	Patrice Girod
Alexandra Her Royal Highness Princess	Alexandra Caroline Marie Charlotte Louise Julia Queen of the United Kingdom and the British Dominions and Empress of India.
Le Brun J. B. P. (Jean-Baptiste-Pierre)	LeBrun Stk
Philip van Dyke	p^Th^R. van Dyk
Selmoser Josef	Sert Josep Lluis
Bernard Robert Chaet	Catherineau Roger
Burde	Bürde Paul Eduard Maximilian
Geyling Carl (1814)	c. geyling
Reza Aliabadi	rzlbd
Rax	Axelsson Ragnar
Carlo Ceccarini	Aletrino Arnold
Pam	Marc Payot
Monogrammist C.W.	C. W.
alvin von stein	stein a.
Ld Pelham	Pelham Thomas 1st Earl of Chichester
De Weddel	Wedel-Jarlsberg Frederik Anton graf
Axayácatl	Axayaácatl Emperor of Mexico
Cavendish-Bentinck George Augustus Frederick the Hon.	G. A. F. Cavendish-Bentinck
Hamilton Gawen approximately 1697-1737	Hhmilton
Edward Parker Esq	Pkr
Keely Isaac H.	Keely
SAHBA	Southern Arizona Home Builders Association
Association géńerale des conservateurs des collections publiques de France Provence-Alpes-Côte d'Azur	AGCCPF-PACA
Smith of Piccadilly	D Smith
Ifa-Galerie Berlin	Institut für Auslandsbeziehungen. Ifa-Galerie Friedrichstrasse
Ceernigoj Jaroslav	Jaroslav Comak
Historic Restoration Inc.	RTI
Vanecde	Jan Ivan Den Hecke
Ghiozzi Renzo	Zoren
Lesueur J.-F.	Sueur
Alexander-François Loemans	Loemans F.
Loemans Alexander-François	Loemans F.
Design Collaborative	TBC
Boriani Davide	Foggie David
United States. Department of Defense	DOD
Tunstall	Constable Marmaduke Cuthbert
Somer	Jan Van Somer
Society of Independent Artists	SIA
Bigio Il	Bracelli Giovanni Battista
Pseudo-Longinus	Longïnos
Goçalves Nuno	Gvs
La Coer	De Lacour Pierre I
Heise Reinen MacRae & Associates	HRMA
Rosemary d' (lady) Avigdor-Goldsmid	Goldsmid Rosie
Bernt Notke	Master of the Lübeck Saint Gregory Mass
Rhode Island School of Design	RISD
Sattler Christoph	christ. huet
Instituto Nacional de Antropología e Historia	INAH-SEP
B*** J.J. (unidentified)	J.J.B***
W. L.	Monogrammist W.L.
James Baily	James Boyd
New West Land Company	NWLC
h. scheeres	hendrik jan scheeres
Wright of Liverpool	R. Wright
P.B. & A.	PB&A
Gebhard Leberecht von Blücher Fürst (prince) von Wahlstatt	Marschall Vorwärts
Gerlier b. 1826	Gerlier
Mr Desmoulins rue Hauteville no 27	M. A. Desmoulins
Cosmas II	Cosmatus de Petrus Mellini
Castelló Vicente the elder	Boullongne Louis de the elder
TSPC	Tahoe-Sierra Preservation Council
P. Verbrugghen	Verbruggen Gaspar Pedro II
Carlos Coire	Terence Corish
Paton Sir Joseph Noël	paton
Ring	Ludger Tom Ring der Ältere
Hans Drop	Arno Hassler
Rijksdienst voor de Monumentenzorg	Department for the Preservation of Monuments and Historic Buildings Netherlands
Heers Salmhofer Vollmer	hsv
Kuiper Luitsen	Anquetin Louis
Petit-Radel. Loius Charles Francois	M. Radel
International Committee of Architectural Critics	CICA
Le Bel	Antoine Lebel
Lebel Antoine	Le Bel
Eismann Carlo	Isman
Maluda	Maria de Lourdes Ribeiro
felicetto scolaro di Giacinto Brandi	Ottini Felice
K. A. Z.	KAZ
Capponi Lorenzo b. 1733	Capponi L.
Martinez Daniel	Martin Verstappen
Putti	Johannes van de Putte Nicolaasz.
Hughes Good O'Leary & Ryan	HGOR
Striegel Bernardo	Meester van de Hirscher Collectie
Sir J Wright	James Wright 1st Baronet
Saint-Quentin Jacques Philippe Joseph De	St. Quentin
M. Saint Quentin	Saint-Quentin Jacques Philippe Joseph De
Vanni	Vanni Lippo di
Rini Dado	Dado Catharina Gerarda Maria
Magro de Orbe Ignacio	Magro Iñigo
H. C.	Monogrammist H.C.
CCC	United States. Federal Security Agency. Civilian Conservation Corps
Gobbo Il	Solari Cristoforo (il Gobbo)
PNBA Architects	Patty Berkebile Nelson Associates
J. David Ake	Davis Kelly R.
SLUB	Sächsische Staatsbibliothek--Staats- und Universitätsbibliothek Dresden
Old Breughal	Bruegel Pieter (The Elder) and Pieter Brueghel (The Younger)
Breughal	Bruegel Pieter (The Elder) and Pieter Brueghel (The Younger)
Jean Joseph Pottekens-Verhaghen	J. Pottengen
P.V.L.	Monogrammist P. V. L.
J. Villegas	Villegas y Cordero José
Juvigné	Jean-Baptiste-Guillaume de Gevigney
Fábrica de Louça de Sacavém	Sacavém
Valparaíso School	Universidad Católica de Valparaíso. Escuela de Architectura y Diseño
S H Mildmay	Mildmay Henry Paulet St. John‏ ‎
McCoy and Wixon Architects	McCoy & Wixon
Messrs. Hoggart & Phillips	Mr. Hoggart
Van Nes	Johan Dircksz. Nes
LAUSD	Los Angeles Unified School District
Malo	Malo Vincente I
H. Brosamer	Brösamer Hans (ca. 1495-1554)
Forbin-Janson Charles-Théodore-Palaméde-Antoine-Félix marquis de	Count Forbin Janson
Forbin Janson	Forbin-Janson Charles-Théodore-Palaméde-Antoine-Félix marquis de
Johan dan Maler	Johan
Kamphuijssen	Camphuijzen Govert Dircksz.
Haes von (Bonn)	Haes
De Maeyer Louis	LOD
Nicolai IUsupov prince	Yusupov
GDR CNRS OPuS	Centre national de la recherche scientifique (France). Groupement de recherche
H + N + S	HNS
A. L. Thivet	A. C. Cooper
g. wuttke	Carlo Wuttke
Ag.no Metelli	Mitello
Master of the Béguins	Maître aux Béguins
Shuping	Yunshai
Nelson-Atkins Museum of Art	William R. Nelson Trust
Zore Manja	Zaretsky Dan
Alberto G. D'Atri	Atri Monsieur d'
Schmidtmeyer	Smidtmyer & Co
Winter David	David Meshulam
Deserre	Seres
Olivier Zabat	Folfi Zanobi
Statens Museum for Kunst	Dansk kunstmuseum
Carl Camu	Consalvo Carelli
Disque Dee Deane	Greef Jean de
Master of the Legend of St. Dominic	Meister der Dominikus-legende
Wilson John Appleton	Bilson John
Dieter Hauser	Dieta Vieg
Henry J. & George Henry Robins	Mr. George Robins
Vaucher-Crémieux Samuel	Vaucher Jean Marc S.
Amedeo di Francesco	Meo da Caprino
Zinsser Ernst	Buchbinder Menachem (Ernst)
Harwill Mrs.	F. Harwill
Carlos II Rey de España	Charles II King of Spain
Spielaberger	Spillenberger Johann Von
Fortner Georg	c. fortner
Romualdo Moscioni	Musconi R.
Ly Fauconberg	Countess Fauconberg
Fannie Pete	Ølsted Peter Ivar Johannes
AV 62	AV62
Gelderen Judy van	Geeraerts Jan
Rigaud Dessinateur & Graveur	Rigaud neuveu du précédent
John MacWhinnie	Vansomer John
a. v. willmanns	amalie wilmans
Metsys Quinten le jeune	Quinten II Massys
Priechenfried Heinrich	Priechenfried A.
Charles Western	Hamilton Charles William De
K. L. J. Rosenfelder	Ludwig Rosenfelder
Johanes Franciscus de Arimino	Giovanni di Francesco (1441)
Pacheco Blanco Jose Manuel	Surata Pacheco de
Muzeum Českého Granátu	Museum of the Czech Garnet
Monteyne J. B.	Monteyne
Spector Knapp & Baughman	SKB Architecture and Design
Berghe Matthias Jansz. van den	Vanden Berg of Alkmaar
Frank M. Moore	Murray Frank
Scott-Moore Elizabeth	Brier Elizabeth Miss
De' Fornari Arturo	D'Aterno Andrea
Ed Hart	Goedhart Eddy
Trimmer Henry Scott	Revd Mr Trimmer Vicarage Heston
University of Southern Switzerland	USI (Università della Svizzera italiana)
Peter Ebner	Rataitz Peter
cha Kyŏngun	Kang Hŭi-ŏn
j. montaignac paris	Isidore Montaignac
Hirtum Marianne van	Quaglio Giovanni Maria Von
Drooch slooth	cornelis drogsloot
Ishimura Akiro	Aikawa Mitsuro
Frymeier G.	Jacob Frymire
Coniquen Leoner	Lebel Antoine
De la Hirr	Lahir
John Gray	John Doyly
Florian M. A. N.	Florian Mircea
Xie Xiaode	De Hsieh Hsiao
Leloir père	A. Leloir
Picknell	W. L. Picknell
Giger-Ammann Molly	Ammann Margrit
Museum der Zeitmessung Beyer	Clock and Watch Museum Beyer Zurich
Crescentino Caselli	Smith Cabell
Mondschein F.	Mont Inc.
Monogrammist P. C. H.	Monogrammist PCH
Karl II Duke of Brunswick-Lüneburg-Wolfenbüttel	Prinz Karl Friedrich August Wilhelm
Austrian Gallery Belvedere	Belvedere Vienna
Beady-thyrsus Group	Groupe du Thyrse Perlé
NMBW Architecture Studio	Neustupny McLean Bertram Wilson
k. langhammer	carl langhammer
Langhammer Carl	k. langhammer
Ernst Fuchs	Feuerfuchs
Jan Mattens	Anton Jandl
Fenyő Andor	Fenyő Ármin
François Lauret	James Laurace
Devaux Evelyne (ps.)	Axell Evelyne
M. Tocqué	Tocqué Louis
Guerard B. D.	Guérard Bernhard Von
Petrini Giuseppe Antonio	Cavalier Petrini
Robin Louise (maiden name)	Louise Adélaide Desnos
Jack B. Yeats	Yeats John Butler
Cour d'Or Museums	Musées de Metz
Bragg Steven William	Billy Bragg
Nappelʹbaum Moiseĭ Solomonovich	Nappelʹbaum M. S.
G. F. Watts	George Frederic Watts
Frelinghuysen Estelle Condit	Frelinghuysen Suzy
M. Echard	Charles Echard
Brande Henri van den	Vandenbrande pretre
j.t. soby	Thrall Soby James
Erri	del R
Herman Dirk Van Armando	Dodeweerd H. D. van
William Channing Whitney	Whitney W. C.
J. G. Meltzer	Melzer Johann Gottlieb
Alfred the Great of Wessex	Aelfred King of England
Ippolito Scarsella Ferrarese	Scarjenu da ferrara
Istituto di storia dell'arte	Florence. Kunsthistorisches Institut
Musée de l'Avranchin	Musée in Hôtel de Ville
Gadiot Phonse	Daalen Phonse van
f.a. schmidt	Friedrich Albert Schmidt
J.B.M. Pierre Ecuyer premier Peintre du Roi	pierre j. b. m.
Francis Rowland Yerbury	Yerbury F. R.
Dewey c.m.	Dewey Charles Melville
Hill Anthony	Redo Achill
heinrich friedrich laurin	Laurin H. F.
hao Chengju Gukuang Chingxia tingzhang	Tu Chin
Beyeren Abraham Van	Albert Beijren
Augustus imperatore romano	Gaius Julius Caesar Octavianus Augustus
Subramanyan Kalpathi Ganapathi	K. G. Subramanyan
Son Ford Thomas	Thomas James Henry
Augustinus de Florentia	Agostino di Duccio?
Gothardt Mathis	Grunewald Neithardt
Giovanni Da Rimini	Johanes Franciscus de Arimino
prof. fritz baer	Baer Friedrich August
Haagmans Alphons Jozef Hubertus	Fons Haagmans
Seitter Joseph Daniel	Daniele il Cavaliere
Monsu Cristiano	Christian Berentz
Monogrammist G.V.L.	G. v. L.
Alexander Rainy	Yalkut Howard Alexander
Salomé Wolfgang Ludwig	Wolfgang Cilarz
Canziani Louisa	Starr Louise
Vespesiano Emperor of Rome	Vespasian Römisches Reich Kaiser
Jack Tilton	Tilton John Havemeyer Jr.
Jonsson Sven	Markelius Sven Gottfrid
Carmelo Arden Quin	Alves Oyarzum Carmelo (birth name)
J.B. Kidd	Joseph Bartholomew Kidd
Borcht Peeter van der (I)	Verborcht Pierre
Carl Engel	Rabenau Engel von der
Rodríguez Hernández Antonio	Antonio Julio
Koller Johann Caspar	J.C. Koller
B. Engelz.	Engelsen Bartholomeus
Tchernykhov Jacob	Černihov Jakov Georgievič
Thomond Mary	Palmer Miss Mary
Tuby Jean Baptiste (I)	Jean Tuby the Elder
Le Jean	Jean-Pierre Quenson
Elizabeth Welles Perkins	Perkins E. W. Miss
Bouche-Villeneuve Christian François	Marker Chris
H. E. Hartolt	Thieriot Charles H.
Picknell William Lamb Lucien	W. L. Picknell
Crawford David Alexander Robert Lindsay Earl of	Balcarres 11th Earl of
Camps J. M.	Camps Arnau José María
Leroy Elisa	Desrivières Élisa
Hampoole Richard de	Eremita Richardus
monogrammist H. L.	bez. H. L.
Itsuko Hasegawa Atelier	Hasegawa Architect and Associates
Ding Xiongquan	Ting Wallase
C. V. M.	Monogrammist C.V.M.
Luis Siciliano	Luigi Rodriguez
Seconda Università degli studi di Roma	University of Rome Tor Vergata
Jack Taylor	John Williams Taylor
Lucatelli Giovanni Francesco	J.-F. Lucatelli
Adalbert Prince of Prussia	Adalbert (Prinz von Preußen)
Reysschoot Pieter Jan van	Petrus Johannes de Engelsen
Barraud François	Gustave Francois
Purcell Chas. Corbutt'	Young Corbutt
Xu Yuren	Hsu Yu-jen
Yoly Gerardo	Yoli Villa-Mario Gabriel
John Joseph of the Cross Saint	Croce Giovan Giuseppe della Saint
Master of the Coronation of the Virgin	Maestro dell' Incoronazione
Martínez Fray José	Martínez Gerónimo Jusepe Batista
Jackson (Dublin)	Jackson
Oliver W. Marble	Aldrich Nelson W.
Iacinto	Giac.to Ci[mi]gnani
Park Soo Keun	Pak Su-gŭn
Johnpaul Jones	June John
Mokhtar Gamal	Mukhtār Muḥammad Jamāl al-Dīn
Pudlat Ningeoseak	Pudlat
Finkelstein Peter Max	Max Peter
Thomas Jones Barker	Janice Oresman
Pío del Valle y Fernández Evaristo Antonio Víctor Pelayo	Pío del Valle y Fernández Evaristo Antonio Víctor
Ragacini	Ragazini (unidentified)
Bremer Anne	Bremer
Jack Roth	Roth James Buford
Dujardin J.	J. Labrador
anonymous Cilician	unknown Cilician
Evert van Heerden	Gerrie van Apeldoorn
Hanke Stefan	Han Si-gak
Lauwick	Lauwick Alexandre
Huysmans P.J.	P. Huysmans de Bruxelles
Math. Lempertz	Kunsthaus Lempertz
Jou Francisco Pedro	Jou Pere
H. Tischbein jun.	Johann Heinrich II Tischbein
Nha Hau Ly	Later Ly dynasty
Rincón	Rincón Antonio del
Cluser Hettore	Deckers Theo
Frost Terry	Frost Terence Ernest Manitou
unknown Québecois	anonymous Québecois
Dufay Alexandre	Henry Alexander
Kern	Kern Johann Adam
Wenzel Anton Fürst von Kaunitz-Rietberg	Kounic-Rietberku Václav Antonín z kníže
Alois Carigiet	Li Ai
Mariano d'Antonio di Francesco Nutolo	Stagnon Antonio Maria
McCaw Terence	Targone Cesare
Collignon Jean Baptiste	Colignon François
M Sirr	Sirr Henry Charles Major
Varen︠t︡sov Mikhail Petrovich	Korinfsky Mikhail
H Wright	Harriet Wright Miss
Casteren Han van	Baelen Jacobus van
Johann Christian	Christian Sottile
James Campbell	Bep Amesz
Duball (unidentified)	Du Ball
Biederbick Christa	Dürr Horst
Ira Cassidy	Fioravanti Cosimo
Henriette	Moscozo Flore Célestine Thérèse Henriette Tristan
Lewis John Frederick	Lewis J. F.
Polk Brigit	Berlin Brigid
Betsy Davis	Visscher Beernt De
Capia Jean	Garcia Peña
Daura Pere	Daura y García Pedro Francisco
Zick	Zick Alexander
Overbeck	Friedrich Overbeck
